35694-9,"California encephalitis virus IgG Ab [Titer] in Serum"
35695-6,"California encephalitis virus IgM Ab [Titer] in Serum"
35696-4,"California encephalitis virus Ab [Titer] in Cerebral spinal fluid"
43132-0,"California encephalitis virus Ab [Units/volume] in Serum Qualitative"
43931-5,"California encephalitis virus Ab [Titer] in Serum"
49138-1,"California encephalitis virus IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence"
49139-9,"California encephalitis virus IgM Ab [Titer] in Cerebral spinal fluid by Immunofluorescence"
49140-7,"California encephalitis virus IgG Ab [Titer] in Serum by Immunofluorescence"
49141-5,"California encephalitis virus IgM Ab [Titer] in Serum by Immunofluorescence"
49193-6,"California encephalitis virus IgM Ab [Titer] in Cerebral spinal fluid"
49194-4,"California encephalitis virus IgG Ab [Titer] in Cerebral spinal fluid"
49195-1,"California encephalitis virus IgG Ab [Units/volume] in Serum"
88455-1,"California encephalitis virus Ab.IgG and IgM panel - Serum by Immunofluorescence"
88456-9,"California encephalitis virus IgG+IgM Ab [Interpretation] in Serum Qualitative by Immunofluorescence"
95638-3,"California encephalitis virus neutralizing antibody [Titer] in Specimen by Neutralization test"
96507-9,"California encephalitis virus IgG Ab [Presence] in Specimen by Immunoassay"
96537-6,"California encephalitis virus IgM Ab [Presence] in Specimen by Immunoassay"
97922-9,"California encephalitis virus RNA [Presence] in Specimen by NAA with probe detection"
34462-2,"California serogroup RNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
34463-0,"California serogroup RNA [Presence] in Blood by NAA with probe detection"
37986-7,"California serogroup RNA [Presence] in Specimen by Probe"
55143-2,"California serogroup RNA [Presence] in Specimen by NAA with probe detection"
101303-6,"Chikungunya virus RNA [Presence] in Blood by NAA with non-probe detection"
104364-5,"Chikungunya virus IgG Ab [Titer] in Serum by Immunoassay --1st specimen"
105230-7,"Chikungunya virus RNA [Presence] in Blood by NAA with probe detection"
26623-9,"Chikungunya virus Ab [Presence] in Serum"
40505-0,"Chikungunya virus Ab [Titer] in Serum by Hemagglutination inhibition"
43064-5,"Chikungunya virus Ab [Titer] in Serum"
51664-1,"Chikungunya virus RNA [Presence] in Specimen by NAA with probe detection"
56128-2,"Chikungunya virus IgG Ab [Titer] in Serum or Plasma by Immunofluorescence"
56129-0,"Chikungunya virus IgG Ab [Presence] in Serum or Plasma by Immunofluorescence"
56130-8,"Chikungunya virus IgM Ab [Titer] in Serum or Plasma by Immunofluorescence"
56131-6,"Chikungunya virus IgM Ab [Presence] in Serum or Plasma by Immunofluorescence"
57934-2,"Chikungunya virus IgM Ab [Presence] in Serum or Plasma"
60260-7,"Chikungunya virus RNA [Presence] in Serum or Plasma by NAA with probe detection"
74821-0,"Chikungunya virus Ab [Presence] in Serum by Hemagglutination inhibition"
81152-1,"Chikungunya virus non-structural protein 1 (nsP1) RNA [Presence] in Serum by NAA with probe detection"
81153-9,"Chikungunya virus non-structural protein 1 (nsP1) RNA [Presence] in Cerebral spinal fluid by NAA with probe detection"
82297-3,"Chikungunya virus structural proteins (E1+E2) IgG Ab [Presence] in Serum by Immunoassay"
83067-9,"Chikungunya virus structural proteins (E1+E2) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay"
83068-7,"Chikungunya virus structural proteins (E1+E2) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay"
86514-7,"Chikungunya virus RNA [Presence] in Amniotic fluid by NAA with probe detection"
86515-4,"Chikungunya virus RNA [Presence] in Urine by NAA with probe detection"
88629-1,"Chikungunya virus IgM Ab [Presence] in Serum or Plasma by Immunoassay"
88630-9,"Chikungunya virus IgG Ab [Presence] in Serum or Plasma by Immunoassay"
93976-9,"Chikungunya virus Ab.IgM and IgG panel - Serum or Plasma"
